unkSrcs,devEncrypt,scrnLock,developerOpts,simLock,BTdiscoverable,usbDebugging,playProtect,devTempTest,numHarmfulApps,APILevel,security score
0,0,0,0,0,0,0,0,0,0,1,2.226890756
0,0,0,0,0,0,0,0,0,1,1,1.722689076
0,0,0,0,0,0,0,0,1,0,1,4.327731092
0,0,0,0,0,0,0,0,1,1,1,3.823529412
0,0,0,0,0,0,0,1,0,0,1,3.277310924
0,0,0,0,0,0,0,1,0,1,1,2.773109244
0,0,0,0,0,0,0,1,1,0,1,5.378151261
0,0,0,0,0,0,0,1,1,1,1,4.87394958
0,0,0,0,0,0,1,0,0,0,1,1.806722689
0,0,0,0,0,0,1,0,0,1,1,1.302521008
0,0,0,0,0,0,1,0,1,0,1,3.907563025
0,0,0,0,0,0,1,0,1,1,1,3.403361345
0,0,0,0,0,0,1,1,0,0,1,2.857142857
0,0,0,0,0,0,1,1,0,1,1,2.352941176
0,0,0,0,0,0,1,1,1,0,1,4.957983193
0,0,0,0,0,0,1,1,1,1,1,4.453781513
0,0,0,0,0,1,0,0,0,0,1,2.058823529
0,0,0,0,0,1,0,0,0,1,1,1.554621849
0,0,0,0,0,1,0,0,1,0,1,4.159663866
0,0,0,0,0,1,0,0,1,1,1,3.655462185
0,0,0,0,0,1,0,1,0,0,1,3.109243697
0,0,0,0,0,1,0,1,0,1,1,2.605042017
0,0,0,0,0,1,0,1,1,0,1,5.210084034
0,0,0,0,0,1,0,1,1,1,1,4.705882353
0,0,0,0,0,1,1,0,0,0,1,1.638655462
0,0,0,0,0,1,1,0,0,1,1,1.134453782
0,0,0,0,0,1,1,0,1,0,1,3.739495798
0,0,0,0,0,1,1,0,1,1,1,3.235294118
0,0,0,0,0,1,1,1,0,0,1,2.68907563
0,0,0,0,0,1,1,1,0,1,1,2.18487395
0,0,0,0,0,1,1,1,1,0,1,4.789915966
0,0,0,0,0,1,1,1,1,1,1,4.285714286
0,0,0,0,1,0,0,0,0,0,1,2.394957983
0,0,0,0,1,0,0,0,0,1,1,1.890756303
0,0,0,0,1,0,0,0,1,0,1,4.495798319
0,0,0,0,1,0,0,0,1,1,1,3.991596639
0,0,0,0,1,0,0,1,0,0,1,3.445378151
0,0,0,0,1,0,0,1,0,1,1,2.941176471
0,0,0,0,1,0,0,1,1,0,1,5.546218487
0,0,0,0,1,0,0,1,1,1,1,5.042016807
0,0,0,0,1,0,1,0,0,0,1,1.974789916
0,0,0,0,1,0,1,0,0,1,1,1.470588235
0,0,0,0,1,0,1,0,1,0,1,4.075630252
0,0,0,0,1,0,1,0,1,1,1,3.571428571
0,0,0,0,1,0,1,1,0,0,1,3.025210084
0,0,0,0,1,0,1,1,0,1,1,2.521008403
0,0,0,0,1,0,1,1,1,0,1,5.12605042
0,0,0,0,1,0,1,1,1,1,1,4.621848739
0,0,0,0,1,1,0,0,0,0,1,2.226890756
0,0,0,0,1,1,0,0,0,1,1,1.722689076
0,0,0,0,1,1,0,0,1,0,1,4.327731092
0,0,0,0,1,1,0,0,1,1,1,3.823529412
0,0,0,0,1,1,0,1,0,0,1,3.277310924
0,0,0,0,1,1,0,1,0,1,1,2.773109244
0,0,0,0,1,1,0,1,1,0,1,5.378151261
0,0,0,0,1,1,0,1,1,1,1,4.87394958
0,0,0,0,1,1,1,0,0,0,1,1.806722689
0,0,0,0,1,1,1,0,0,1,1,1.302521008
0,0,0,0,1,1,1,0,1,0,1,3.907563025
0,0,0,0,1,1,1,0,1,1,1,3.403361345
0,0,0,0,1,1,1,1,0,0,1,2.857142857
0,0,0,0,1,1,1,1,0,1,1,2.352941176
0,0,0,0,1,1,1,1,1,0,1,4.957983193
0,0,0,0,1,1,1,1,1,1,1,4.453781513
0,0,0,1,0,0,0,0,0,0,1,1.596638655
0,0,0,1,0,0,0,0,0,1,1,1.092436975
0,0,0,1,0,0,0,0,1,0,1,3.697478992
0,0,0,1,0,0,0,0,1,1,1,3.193277311
0,0,0,1,0,0,0,1,0,0,1,2.647058824
0,0,0,1,0,0,0,1,0,1,1,2.142857143
0,0,0,1,0,0,0,1,1,0,1,4.74789916
0,0,0,1,0,0,0,1,1,1,1,4.243697479
0,0,0,1,0,0,1,0,0,0,1,1.176470588
0,0,0,1,0,0,1,0,0,1,1,0.672268908
0,0,0,1,0,0,1,0,1,0,1,3.277310924
0,0,0,1,0,0,1,0,1,1,1,2.773109244
0,0,0,1,0,0,1,1,0,0,1,2.226890756
0,0,0,1,0,0,1,1,0,1,1,1.722689076
0,0,0,1,0,0,1,1,1,0,1,4.327731092
0,0,0,1,0,0,1,1,1,1,1,3.823529412
0,0,0,1,0,1,0,0,0,0,1,1.428571429
0,0,0,1,0,1,0,0,0,1,1,0.924369748
0,0,0,1,0,1,0,0,1,0,1,3.529411765
0,0,0,1,0,1,0,0,1,1,1,3.025210084
0,0,0,1,0,1,0,1,0,0,1,2.478991597
0,0,0,1,0,1,0,1,0,1,1,1.974789916
0,0,0,1,0,1,0,1,1,0,1,4.579831933
0,0,0,1,0,1,0,1,1,1,1,4.075630252
0,0,0,1,0,1,1,0,0,0,1,1.008403361
0,0,0,1,0,1,1,0,0,1,1,0.504201681
0,0,0,1,0,1,1,0,1,0,1,3.109243697
0,0,0,1,0,1,1,0,1,1,1,2.605042017
0,0,0,1,0,1,1,1,0,0,1,2.058823529
0,0,0,1,0,1,1,1,0,1,1,1.554621849
0,0,0,1,0,1,1,1,1,0,1,4.159663866
0,0,0,1,0,1,1,1,1,1,1,3.655462185
0,0,0,1,1,0,0,0,0,0,1,1.764705882
0,0,0,1,1,0,0,0,0,1,1,1.260504202
0,0,0,1,1,0,0,0,1,0,1,3.865546218
0,0,0,1,1,0,0,0,1,1,1,3.361344538
0,0,0,1,1,0,0,1,0,0,1,2.81512605
0,0,0,1,1,0,0,1,0,1,1,2.31092437
0,0,0,1,1,0,0,1,1,0,1,4.915966387
0,0,0,1,1,0,0,1,1,1,1,4.411764706
0,0,0,1,1,0,1,0,0,0,1,1.344537815
0,0,0,1,1,0,1,0,0,1,1,0.840336135
0,0,0,1,1,0,1,0,1,0,1,3.445378151
0,0,0,1,1,0,1,0,1,1,1,2.941176471
0,0,0,1,1,0,1,1,0,0,1,2.394957983
0,0,0,1,1,0,1,1,0,1,1,1.890756303
0,0,0,1,1,0,1,1,1,0,1,4.495798319
0,0,0,1,1,0,1,1,1,1,1,3.991596639
0,0,0,1,1,1,0,0,0,0,1,1.596638655
0,0,0,1,1,1,0,0,0,1,1,1.092436975
0,0,0,1,1,1,0,0,1,0,1,3.697478992
0,0,0,1,1,1,0,0,1,1,1,3.193277311
0,0,0,1,1,1,0,1,0,0,1,2.647058824
0,0,0,1,1,1,0,1,0,1,1,2.142857143
0,0,0,1,1,1,0,1,1,0,1,4.74789916
0,0,0,1,1,1,0,1,1,1,1,4.243697479
0,0,0,1,1,1,1,0,0,0,1,1.176470588
0,0,0,1,1,1,1,0,0,1,1,0.672268908
0,0,0,1,1,1,1,0,1,0,1,3.277310924
0,0,0,1,1,1,1,0,1,1,1,2.773109244
0,0,0,1,1,1,1,1,0,0,1,2.226890756
0,0,0,1,1,1,1,1,0,1,1,1.722689076
0,0,0,1,1,1,1,1,1,0,1,4.327731092
0,0,0,1,1,1,1,1,1,1,1,3.823529412
0,0,1,0,0,0,0,0,0,0,1,3.739495798
0,0,1,0,0,0,0,0,0,1,1,3.235294118
0,0,1,0,0,0,0,0,1,0,1,5.840336134
0,0,1,0,0,0,0,0,1,1,1,5.336134454
0,0,1,0,0,0,0,1,0,0,1,4.789915966
0,0,1,0,0,0,0,1,0,1,1,4.285714286
0,0,1,0,0,0,0,1,1,0,1,6.890756303
0,0,1,0,0,0,0,1,1,1,1,6.386554622
0,0,1,0,0,0,1,0,0,0,1,3.319327731
0,0,1,0,0,0,1,0,0,1,1,2.81512605
0,0,1,0,0,0,1,0,1,0,1,5.420168067
0,0,1,0,0,0,1,0,1,1,1,4.915966387
0,0,1,0,0,0,1,1,0,0,1,4.369747899
0,0,1,0,0,0,1,1,0,1,1,3.865546218
0,0,1,0,0,0,1,1,1,0,1,6.470588235
0,0,1,0,0,0,1,1,1,1,1,5.966386555
0,0,1,0,0,1,0,0,0,0,1,3.571428571
0,0,1,0,0,1,0,0,0,1,1,3.067226891
0,0,1,0,0,1,0,0,1,0,1,5.672268908
0,0,1,0,0,1,0,0,1,1,1,5.168067227
0,0,1,0,0,1,0,1,0,0,1,4.621848739
0,0,1,0,0,1,0,1,0,1,1,4.117647059
0,0,1,0,0,1,0,1,1,0,1,6.722689076
0,0,1,0,0,1,0,1,1,1,1,6.218487395
0,0,1,0,0,1,1,0,0,0,1,3.151260504
0,0,1,0,0,1,1,0,0,1,1,2.647058824
0,0,1,0,0,1,1,0,1,0,1,5.25210084
0,0,1,0,0,1,1,0,1,1,1,4.74789916
0,0,1,0,0,1,1,1,0,0,1,4.201680672
0,0,1,0,0,1,1,1,0,1,1,3.697478992
0,0,1,0,0,1,1,1,1,0,1,6.302521008
0,0,1,0,0,1,1,1,1,1,1,5.798319328
0,0,1,0,1,0,0,0,0,0,1,3.907563025
0,0,1,0,1,0,0,0,0,1,1,3.403361345
0,0,1,0,1,0,0,0,1,0,1,6.008403361
0,0,1,0,1,0,0,0,1,1,1,5.504201681
0,0,1,0,1,0,0,1,0,0,1,4.957983193
0,0,1,0,1,0,0,1,0,1,1,4.453781513
0,0,1,0,1,0,0,1,1,0,1,7.058823529
0,0,1,0,1,0,0,1,1,1,1,6.554621849
0,0,1,0,1,0,1,0,0,0,1,3.487394958
0,0,1,0,1,0,1,0,0,1,1,2.983193277
0,0,1,0,1,0,1,0,1,0,1,5.588235294
0,0,1,0,1,0,1,0,1,1,1,5.084033613
0,0,1,0,1,0,1,1,0,0,1,4.537815126
0,0,1,0,1,0,1,1,0,1,1,4.033613445
0,0,1,0,1,0,1,1,1,0,1,6.638655462
0,0,1,0,1,0,1,1,1,1,1,6.134453782
0,0,1,0,1,1,0,0,0,0,1,3.739495798
0,0,1,0,1,1,0,0,0,1,1,3.235294118
0,0,1,0,1,1,0,0,1,0,1,5.840336134
0,0,1,0,1,1,0,0,1,1,1,5.336134454
0,0,1,0,1,1,0,1,0,0,1,4.789915966
0,0,1,0,1,1,0,1,0,1,1,4.285714286
0,0,1,0,1,1,0,1,1,0,1,6.890756303
0,0,1,0,1,1,0,1,1,1,1,6.386554622
0,0,1,0,1,1,1,0,0,0,1,3.319327731
0,0,1,0,1,1,1,0,0,1,1,2.81512605
0,0,1,0,1,1,1,0,1,0,1,5.420168067
0,0,1,0,1,1,1,0,1,1,1,4.915966387
0,0,1,0,1,1,1,1,0,0,1,4.369747899
0,0,1,0,1,1,1,1,0,1,1,3.865546218
0,0,1,0,1,1,1,1,1,0,1,6.470588235
0,0,1,0,1,1,1,1,1,1,1,5.966386555
0,0,1,1,0,0,0,0,0,0,1,3.109243697
0,0,1,1,0,0,0,0,0,1,1,2.605042017
0,0,1,1,0,0,0,0,1,0,1,5.210084034
0,0,1,1,0,0,0,0,1,1,1,4.705882353
0,0,1,1,0,0,0,1,0,0,1,4.159663866
0,0,1,1,0,0,0,1,0,1,1,3.655462185
0,0,1,1,0,0,0,1,1,0,1,6.260504202
0,0,1,1,0,0,0,1,1,1,1,5.756302521
0,0,1,1,0,0,1,0,0,0,1,2.68907563
0,0,1,1,0,0,1,0,0,1,1,2.18487395
0,0,1,1,0,0,1,0,1,0,1,4.789915966
0,0,1,1,0,0,1,0,1,1,1,4.285714286
0,0,1,1,0,0,1,1,0,0,1,3.739495798
0,0,1,1,0,0,1,1,0,1,1,3.235294118
0,0,1,1,0,0,1,1,1,0,1,5.840336134
0,0,1,1,0,0,1,1,1,1,1,5.336134454
0,0,1,1,0,1,0,0,0,0,1,2.941176471
0,0,1,1,0,1,0,0,0,1,1,2.43697479
0,0,1,1,0,1,0,0,1,0,1,5.042016807
0,0,1,1,0,1,0,0,1,1,1,4.537815126
0,0,1,1,0,1,0,1,0,0,1,3.991596639
0,0,1,1,0,1,0,1,0,1,1,3.487394958
0,0,1,1,0,1,0,1,1,0,1,6.092436975
0,0,1,1,0,1,0,1,1,1,1,5.588235294
0,0,1,1,0,1,1,0,0,0,1,2.521008403
0,0,1,1,0,1,1,0,0,1,1,2.016806723
0,0,1,1,0,1,1,0,1,0,1,4.621848739
0,0,1,1,0,1,1,0,1,1,1,4.117647059
0,0,1,1,0,1,1,1,0,0,1,3.571428571
0,0,1,1,0,1,1,1,0,1,1,3.067226891
0,0,1,1,0,1,1,1,1,0,1,5.672268908
0,0,1,1,0,1,1,1,1,1,1,5.168067227
0,0,1,1,1,0,0,0,0,0,1,3.277310924
